,Global LLS,Local Regression (N=10)
min,-8.45981666581691,-27.24634640279515
max,10.921903398144487,12.068411339067765
mean,-0.18614065685879072,-0.07298709031024138
std,3.2358397776580974,1.9826099279729235
MSE,10.50530741081023,3.936069241848757
R²,0.907926959799213,0.9655025933686723
Correlation,0.9530442415322123,0.9827401974712647
